order_number,customer_email,shop_code,shipping_address_code,status,ordered_at,currency,subtotal,discount_total,tax_total,total
ORD000196,cust0033@example.com,SHOP003,ADDR0063A,paid,2025-08-15T21:24:37+00:00,GBP,2377.02,118.85,185.17,2443.34
ORD000197,cust0159@example.com,SHOP001,ADDR0129B,draft,2025-05-11T01:29:22+00:00,EUR,7803.44,0.00,639.88,8443.32
ORD000198,cust0127@example.com,SHOP003,ADDR0073B,paid,2026-05-01T09:46:21+00:00,EUR,10324.13,516.21,804.25,10612.17
ORD000199,cust0104@example.com,SHOP005,ADDR0145A,cancelled,2025-04-25T03:46:55+00:00,EUR,7819.25,0.00,641.18,8460.43
ORD000200,cust0179@example.com,SHOP002,ADDR0110B,draft,2026-06-29T09:27:22+00:00,EUR,6435.35,0.00,527.70,6963.05
ORD000201,cust0088@example.com,SHOP007,ADDR0134A,paid,2026-01-25T09:09:01+00:00,USD,3235.57,161.78,252.05,3325.84
ORD000202,cust0037@example.com,SHOP007,ADDR0070A,shipped,2025-04-22T12:49:17+00:00,EUR,2385.22,119.26,185.81,2451.77
ORD000203,cust0068@example.com,SHOP007,ADDR0039A,draft,2025-09-01T08:37:50+00:00,GBP,6414.42,0.00,525.98,6940.40
ORD000204,cust0142@example.com,SHOP002,ADDR0106A,paid,2025-05-04T12:41:26+00:00,GBP,2832.80,141.64,220.68,2911.84
ORD000205,cust0035@example.com,SHOP005,ADDR0134A,refunded,2025-12-27T13:22:29+00:00,USD,4749.60,237.48,369.99,4882.11
ORD000206,cust0150@example.com,SHOP001,ADDR0019A,shipped,2026-07-04T07:58:03+00:00,GBP,14401.51,720.08,1121.88,14803.31
ORD000207,cust0138@example.com,SHOP002,ADDR0011B,paid,2025-12-26T08:04:29+00:00,USD,1718.10,85.90,133.84,1766.04
ORD000208,cust0109@example.com,SHOP006,ADDR0080A,cancelled,2025-05-08T23:53:09+00:00,GBP,6081.17,0.00,498.66,6579.83
ORD000209,cust0028@example.com,SHOP004,ADDR0129A,cancelled,2025-06-12T03:29:51+00:00,EUR,9467.53,0.00,776.34,10243.87
ORD000210,cust0151@example.com,SHOP005,ADDR0001A,shipped,2025-04-18T09:41:42+00:00,USD,2107.59,105.38,164.18,2166.39
ORD000211,cust0142@example.com,SHOP006,ADDR0038B,paid,2025-08-14T20:44:02+00:00,GBP,3932.16,196.61,306.32,4041.87
ORD000212,cust0093@example.com,SHOP002,ADDR0114B,shipped,2025-12-07T09:23:34+00:00,GBP,3384.60,169.23,263.66,3479.03
ORD000213,cust0150@example.com,SHOP005,ADDR0158A,paid,2025-07-08T16:15:09+00:00,USD,9887.93,494.40,770.27,10163.80
ORD000214,cust0124@example.com,SHOP005,ADDR0088B,paid,2026-06-27T03:47:33+00:00,GBP,2174.19,108.71,169.37,2234.85
ORD000215,cust0113@example.com,SHOP002,ADDR0010B,paid,2025-03-01T17:36:11+00:00,EUR,8130.16,406.51,633.34,8356.99
ORD000216,cust0089@example.com,SHOP002,ADDR0163A,shipped,2026-04-06T16:50:22+00:00,USD,3236.53,161.83,252.13,3326.83
ORD000217,cust0050@example.com,SHOP006,ADDR0075B,paid,2025-01-03T20:48:24+00:00,GBP,1205.49,60.27,93.91,1239.13
ORD000218,cust0145@example.com,SHOP005,ADDR0140A,shipped,2025-01-31T10:55:14+00:00,EUR,2566.49,128.32,199.93,2638.10
ORD000219,cust0159@example.com,SHOP002,ADDR0062A,cancelled,2025-11-16T20:33:23+00:00,USD,5388.73,0.00,441.88,5830.61
ORD000220,cust0031@example.com,SHOP001,ADDR0112B,paid,2025-12-27T21:22:04+00:00,GBP,1470.53,73.53,114.55,1511.55
ORD000221,cust0011@example.com,SHOP002,ADDR0125B,draft,2025-05-08T19:46:47+00:00,GBP,8094.00,0.00,663.71,8757.71
ORD000222,cust0166@example.com,SHOP001,ADDR0027A,shipped,2026-03-24T21:42:16+00:00,GBP,4548.72,227.44,354.34,4675.62
ORD000223,cust0015@example.com,SHOP002,ADDR0113A,paid,2025-11-16T01:57:30+00:00,GBP,7566.12,378.31,589.40,7777.21
ORD000224,cust0129@example.com,SHOP003,ADDR0049A,paid,2025-01-13T12:44:46+00:00,GBP,887.29,44.36,69.12,912.05
ORD000225,cust0046@example.com,SHOP006,ADDR0083B,draft,2026-05-27T16:56:54+00:00,GBP,8217.43,0.00,673.83,8891.26
ORD000226,cust0049@example.com,SHOP007,ADDR0051A,shipped,2025-10-16T17:16:53+00:00,GBP,7720.22,386.01,601.41,7935.62
ORD000227,cust0006@example.com,SHOP002,ADDR0082B,paid,2025-11-08T14:10:31+00:00,GBP,6263.78,313.19,487.95,6438.54
ORD000228,cust0070@example.com,SHOP006,ADDR0055A,draft,2025-12-03T07:26:45+00:00,EUR,4845.46,0.00,397.33,5242.79
ORD000229,cust0046@example.com,SHOP004,ADDR0105A,draft,2025-02-20T14:28:20+00:00,EUR,2649.65,0.00,217.27,2866.92
ORD000230,cust0008@example.com,SHOP006,ADDR0122B,paid,2025-07-31T01:34:14+00:00,EUR,1905.27,95.26,148.42,1958.43
ORD000231,cust0126@example.com,SHOP002,ADDR0013A,paid,2025-08-09T02:30:45+00:00,GBP,6464.56,323.23,503.59,6644.92
ORD000232,cust0157@example.com,SHOP003,ADDR0085A,paid,2026-05-25T23:57:50+00:00,USD,1152.30,57.62,89.76,1184.44
ORD000233,cust0098@example.com,SHOP002,ADDR0059A,draft,2026-05-11T22:02:03+00:00,GBP,3356.06,0.00,275.20,3631.26
ORD000234,cust0167@example.com,SHOP005,ADDR0131A,paid,2026-06-01T15:37:44+00:00,USD,8207.54,410.38,639.37,8436.53
ORD000235,cust0091@example.com,SHOP005,ADDR0162A,paid,2026-05-19T02:30:26+00:00,EUR,5128.30,256.42,399.49,5271.37
ORD000236,cust0154@example.com,SHOP005,ADDR0050A,paid,2026-07-10T17:22:28+00:00,USD,5061.88,253.09,394.32,5203.11
ORD000237,cust0017@example.com,SHOP001,ADDR0063A,paid,2026-03-15T20:57:26+00:00,GBP,7270.39,363.52,566.36,7473.23
ORD000238,cust0073@example.com,SHOP006,ADDR0146B,shipped,2025-03-19T22:01:31+00:00,GBP,3654.54,182.73,284.69,3756.50
ORD000239,cust0141@example.com,SHOP002,ADDR0001A,shipped,2026-07-20T21:59:09+00:00,USD,177.88,8.89,13.86,182.85
ORD000240,cust0089@example.com,SHOP004,ADDR0132B,paid,2026-01-12T11:34:34+00:00,EUR,8429.46,421.47,656.66,8664.65
ORD000241,cust0169@example.com,SHOP006,ADDR0061A,shipped,2025-12-19T07:15:00+00:00,GBP,3230.15,161.51,251.63,3320.27
ORD000242,cust0030@example.com,SHOP004,ADDR0086B,paid,2026-04-19T22:52:01+00:00,USD,4459.34,222.97,347.38,4583.75
ORD000243,cust0032@example.com,SHOP004,ADDR0105B,paid,2025-10-05T02:15:58+00:00,GBP,8226.17,411.31,640.82,8455.68
ORD000244,cust0004@example.com,SHOP004,ADDR0073A,shipped,2026-01-23T22:51:52+00:00,EUR,5008.34,250.42,390.15,5148.07
ORD000245,cust0074@example.com,SHOP001,ADDR0074A,paid,2026-01-02T05:24:24+00:00,EUR,5393.14,269.66,420.13,5543.61
ORD000246,cust0169@example.com,SHOP005,ADDR0180A,paid,2025-12-07T06:36:36+00:00,USD,562.48,28.12,43.82,578.18
ORD000247,cust0089@example.com,SHOP007,ADDR0146A,shipped,2026-03-01T17:37:19+00:00,EUR,6882.59,344.13,536.15,7074.61
ORD000248,cust0132@example.com,SHOP005,ADDR0103B,shipped,2025-12-17T00:26:15+00:00,USD,4387.55,219.38,341.79,4509.96
ORD000249,cust0143@example.com,SHOP007,ADDR0141B,draft,2025-04-03T07:42:41+00:00,EUR,3100.68,0.00,254.26,3354.94
ORD000250,cust0085@example.com,SHOP006,ADDR0179A,shipped,2025-06-23T05:25:11+00:00,EUR,10284.85,514.24,801.19,10571.80
ORD000251,cust0171@example.com,SHOP003,ADDR0010A,paid,2026-06-10T11:48:25+00:00,EUR,2910.62,145.53,226.74,2991.83
ORD000252,cust0062@example.com,SHOP002,ADDR0119B,paid,2026-08-17T21:43:28+00:00,GBP,388.75,19.44,30.28,399.59
ORD000253,cust0136@example.com,SHOP004,ADDR0088B,paid,2026-04-18T18:24:38+00:00,EUR,6230.20,311.51,485.33,6404.02
ORD000254,cust0034@example.com,SHOP006,ADDR0025A,paid,2026-07-13T05:27:28+00:00,EUR,5586.99,279.35,435.23,5742.87
ORD000255,cust0113@example.com,SHOP007,ADDR0098A,refunded,2025-07-30T19:32:17+00:00,USD,3418.71,170.94,266.32,3514.09
ORD000256,cust0069@example.com,SHOP001,ADDR0144A,shipped,2026-07-10T08:53:37+00:00,USD,3599.73,179.99,280.42,3700.16
ORD000257,cust0083@example.com,SHOP002,ADDR0084A,paid,2025-06-16T06:58:13+00:00,GBP,4404.70,220.24,343.13,4527.59
ORD000258,cust0179@example.com,SHOP006,ADDR0146B,paid,2025-07-17T12:40:22+00:00,GBP,1968.76,98.44,153.37,2023.69
ORD000259,cust0176@example.com,SHOP002,ADDR0047A,paid,2026-02-26T02:47:24+00:00,GBP,4630.76,231.54,360.74,4759.96
ORD000260,cust0027@example.com,SHOP003,ADDR0019A,paid,2026-07-26T11:23:17+00:00,EUR,4700.47,235.02,366.17,4831.62
ORD000261,cust0089@example.com,SHOP003,ADDR0131B,paid,2025-12-18T11:45:52+00:00,EUR,3586.97,179.35,279.42,3687.04
ORD000262,cust0068@example.com,SHOP007,ADDR0104A,paid,2025-11-14T20:21:18+00:00,GBP,9602.28,480.11,748.02,9870.19
ORD000263,cust0142@example.com,SHOP001,ADDR0140A,shipped,2025-11-07T12:14:43+00:00,EUR,16734.58,836.73,1303.62,17201.47
ORD000264,cust0161@example.com,SHOP005,ADDR0124B,paid,2026-07-09T06:26:05+00:00,EUR,7063.36,353.17,550.24,7260.43
ORD000265,cust0082@example.com,SHOP004,ADDR0153A,draft,2026-01-01T03:41:49+00:00,EUR,14780.58,0.00,1212.01,15992.59
ORD000266,cust0010@example.com,SHOP002,ADDR0156B,paid,2025-08-13T02:06:00+00:00,GBP,8101.62,405.08,631.12,8327.66
ORD000267,cust0151@example.com,SHOP007,ADDR0096A,paid,2026-02-15T08:42:33+00:00,GBP,10385.07,519.25,809.00,10674.82
ORD000268,cust0053@example.com,SHOP004,ADDR0056A,paid,2025-06-20T10:48:16+00:00,USD,501.87,25.09,39.10,515.88
ORD000269,cust0154@example.com,SHOP006,ADDR0030B,shipped,2025-05-17T00:55:53+00:00,GBP,1002.56,50.13,78.10,1030.53
ORD000270,cust0096@example.com,SHOP002,ADDR0075A,paid,2025-10-20T08:35:57+00:00,USD,4775.01,238.75,371.97,4908.23
ORD000271,cust0068@example.com,SHOP001,ADDR0133A,paid,2025-02-27T16:40:24+00:00,GBP,2418.09,120.90,188.37,2485.56
ORD000272,cust0166@example.com,SHOP001,ADDR0170A,paid,2026-04-28T08:25:27+00:00,EUR,3400.91,170.05,264.93,3495.79
ORD000273,cust0135@example.com,SHOP003,ADDR0101B,paid,2026-08-16T05:24:46+00:00,EUR,2684.06,134.20,209.09,2758.95
ORD000274,cust0161@example.com,SHOP005,ADDR0028B,paid,2025-11-25T07:01:45+00:00,EUR,8792.34,439.62,684.92,9037.64
ORD000275,cust0139@example.com,SHOP007,ADDR0100A,draft,2025-12-04T04:52:10+00:00,EUR,4968.19,0.00,407.39,5375.58
ORD000276,cust0071@example.com,SHOP005,ADDR0137B,paid,2025-04-03T12:19:56+00:00,GBP,4084.65,204.23,318.19,4198.61
ORD000277,cust0157@example.com,SHOP003,ADDR0088B,shipped,2025-06-23T07:34:56+00:00,EUR,4996.21,249.81,389.20,5135.60
ORD000278,cust0071@example.com,SHOP007,ADDR0112A,refunded,2026-07-22T09:06:31+00:00,EUR,6570.36,328.52,511.83,6753.67
ORD000279,cust0101@example.com,SHOP004,ADDR0036A,draft,2025-08-01T03:06:48+00:00,EUR,6468.20,0.00,530.39,6998.59
ORD000280,cust0037@example.com,SHOP002,ADDR0108A,cancelled,2025-03-04T00:01:27+00:00,EUR,4874.16,0.00,399.68,5273.84
ORD000281,cust0093@example.com,SHOP004,ADDR0042B,paid,2025-12-10T16:48:08+00:00,GBP,5915.02,295.75,460.78,6080.05
ORD000282,cust0149@example.com,SHOP002,ADDR0093A,cancelled,2026-07-30T01:29:45+00:00,EUR,1776.23,0.00,145.65,1921.88
ORD000283,cust0062@example.com,SHOP003,ADDR0177A,paid,2025-11-27T09:53:11+00:00,GBP,7452.57,372.63,580.56,7660.50
ORD000284,cust0093@example.com,SHOP006,ADDR0034A,paid,2025-12-11T06:13:49+00:00,EUR,9374.50,468.72,730.27,9636.05
ORD000285,cust0138@example.com,SHOP004,ADDR0133A,cancelled,2025-11-21T02:30:25+00:00,USD,351.20,0.00,28.80,380.00
ORD000286,cust0132@example.com,SHOP006,ADDR0023B,draft,2026-04-29T15:28:26+00:00,USD,16338.48,0.00,1339.76,17678.24
ORD000287,cust0019@example.com,SHOP005,ADDR0058A,paid,2025-07-16T15:08:30+00:00,EUR,473.00,23.65,36.85,486.20
ORD000288,cust0170@example.com,SHOP002,ADDR0065A,paid,2025-07-10T11:27:01+00:00,GBP,4201.53,210.08,327.30,4318.75
ORD000289,cust0063@example.com,SHOP003,ADDR0133B,paid,2025-10-19T10:39:55+00:00,EUR,3801.02,190.05,296.10,3907.07
ORD000290,cust0166@example.com,SHOP001,ADDR0076B,paid,2025-12-21T17:46:27+00:00,GBP,17679.90,884.00,1377.26,18173.16
ORD000291,cust0048@example.com,SHOP002,ADDR0007A,paid,2025-07-07T05:54:07+00:00,GBP,3051.26,152.56,237.69,3136.39
ORD000292,cust0176@example.com,SHOP005,ADDR0040A,shipped,2026-02-06T09:09:40+00:00,EUR,463.37,23.17,36.10,476.30
ORD000293,cust0065@example.com,SHOP007,ADDR0136B,paid,2025-05-07T05:48:14+00:00,GBP,6046.77,302.34,471.04,6215.47
ORD000294,cust0076@example.com,SHOP006,ADDR0064A,paid,2025-06-20T07:56:14+00:00,EUR,9007.47,450.37,701.68,9258.78
ORD000295,cust0162@example.com,SHOP007,ADDR0011A,shipped,2026-01-15T13:19:44+00:00,GBP,13833.43,691.67,1077.62,14219.38
ORD000296,cust0036@example.com,SHOP007,ADDR0101B,paid,2025-06-27T13:07:16+00:00,EUR,8425.36,421.27,656.34,8660.43
ORD000297,cust0178@example.com,SHOP003,ADDR0136B,paid,2025-05-30T17:06:56+00:00,EUR,1648.53,82.43,128.42,1694.52
ORD000298,cust0053@example.com,SHOP005,ADDR0143A,paid,2026-02-22T02:58:09+00:00,USD,5115.13,255.76,398.47,5257.84
ORD000299,cust0159@example.com,SHOP004,ADDR0151B,refunded,2026-05-17T09:01:30+00:00,USD,1442.75,72.14,112.39,1483.00
ORD000300,cust0155@example.com,SHOP003,ADDR0148A,paid,2026-06-27T02:35:14+00:00,USD,4258.46,212.92,331.73,4377.27
ORD000301,cust0122@example.com,SHOP004,ADDR0163A,paid,2025-10-17T19:43:19+00:00,USD,7186.40,359.32,559.82,7386.90
ORD000302,cust0115@example.com,SHOP001,ADDR0055A,paid,2025-06-21T04:27:57+00:00,EUR,9204.04,460.20,716.99,9460.83
ORD000303,cust0053@example.com,SHOP003,ADDR0170A,shipped,2025-07-03T10:52:18+00:00,EUR,1659.63,82.98,129.29,1705.94
ORD000304,cust0086@example.com,SHOP006,ADDR0051A,shipped,2026-07-12T06:47:19+00:00,EUR,5245.45,262.27,408.62,5391.80
ORD000305,cust0020@example.com,SHOP007,ADDR0111A,draft,2026-03-17T02:03:08+00:00,USD,131.43,0.00,10.78,142.21
ORD000306,cust0073@example.com,SHOP007,ADDR0156A,cancelled,2025-05-17T17:11:50+00:00,GBP,2087.81,0.00,171.20,2259.01
ORD000307,cust0135@example.com,SHOP005,ADDR0075B,paid,2025-09-20T01:14:44+00:00,GBP,5911.12,295.56,460.48,6076.04
ORD000308,cust0120@example.com,SHOP006,ADDR0053A,paid,2025-09-24T19:16:33+00:00,USD,7449.84,372.49,580.34,7657.69
ORD000309,cust0129@example.com,SHOP006,ADDR0141B,shipped,2026-04-18T22:56:01+00:00,GBP,2043.52,102.18,159.19,2100.53
ORD000310,cust0162@example.com,SHOP003,ADDR0137A,shipped,2025-04-13T11:32:15+00:00,EUR,2527.92,126.40,196.92,2598.44
ORD000311,cust0111@example.com,SHOP007,ADDR0076B,paid,2025-06-12T04:09:43+00:00,EUR,560.50,28.02,43.66,576.14
ORD000312,cust0087@example.com,SHOP006,ADDR0145A,paid,2026-01-15T02:46:50+00:00,EUR,2598.69,129.93,202.44,2671.20
ORD000313,cust0173@example.com,SHOP001,ADDR0169A,shipped,2025-06-06T00:18:55+00:00,USD,9408.31,470.42,732.91,9670.80
ORD000314,cust0146@example.com,SHOP002,ADDR0106A,paid,2025-06-30T05:48:24+00:00,EUR,41.62,2.08,3.24,42.78
ORD000315,cust0112@example.com,SHOP004,ADDR0137B,paid,2025-12-09T02:16:07+00:00,EUR,3915.02,195.75,304.98,4024.25
ORD000316,cust0012@example.com,SHOP004,ADDR0113B,paid,2025-08-16T01:38:55+00:00,USD,4544.81,227.24,354.04,4671.61
ORD000317,cust0040@example.com,SHOP006,ADDR0048B,refunded,2025-01-07T10:43:31+00:00,GBP,1627.19,81.36,126.76,1672.59
ORD000318,cust0137@example.com,SHOP003,ADDR0145A,shipped,2025-08-03T02:07:38+00:00,USD,2867.91,143.40,223.41,2947.92
ORD000319,cust0127@example.com,SHOP006,ADDR0030A,paid,2026-08-27T01:40:20+00:00,USD,14590.20,729.51,1136.58,14997.27
ORD000320,cust0091@example.com,SHOP007,ADDR0095A,shipped,2026-03-11T22:04:57+00:00,USD,6739.65,336.98,525.02,6927.69
ORD000321,cust0029@example.com,SHOP007,ADDR0098A,paid,2025-04-06T02:27:11+00:00,GBP,7535.06,376.75,586.98,7745.29
ORD000322,cust0106@example.com,SHOP005,ADDR0124A,paid,2025-11-20T10:45:21+00:00,USD,10879.64,543.98,847.52,11183.18
ORD000323,cust0150@example.com,SHOP001,ADDR0115A,refunded,2026-07-09T19:20:56+00:00,USD,3229.80,161.49,251.60,3319.91
ORD000324,cust0119@example.com,SHOP006,ADDR0163A,paid,2026-03-03T06:45:34+00:00,USD,1298.46,64.92,101.15,1334.69
ORD000325,cust0030@example.com,SHOP004,ADDR0089A,paid,2026-05-08T11:41:48+00:00,EUR,6560.00,328.00,511.02,6743.02
ORD000326,cust0037@example.com,SHOP005,ADDR0064A,paid,2025-02-15T10:20:59+00:00,GBP,5338.00,266.90,415.83,5486.93
ORD000327,cust0027@example.com,SHOP005,ADDR0022B,cancelled,2026-04-02T20:03:42+00:00,EUR,4049.91,0.00,332.09,4382.00
ORD000328,cust0075@example.com,SHOP005,ADDR0085B,paid,2025-07-06T00:55:40+00:00,EUR,1602.12,80.11,124.80,1646.81
ORD000329,cust0165@example.com,SHOP004,ADDR0137A,paid,2025-11-15T21:47:34+00:00,GBP,6411.87,320.59,499.48,6590.76
ORD000330,cust0062@example.com,SHOP007,ADDR0151A,paid,2025-12-16T03:51:48+00:00,EUR,3256.99,162.85,253.72,3347.86
ORD000331,cust0053@example.com,SHOP006,ADDR0042A,paid,2025-10-02T02:40:19+00:00,USD,9220.76,461.04,718.30,9478.02
ORD000332,cust0145@example.com,SHOP003,ADDR0086B,refunded,2026-07-14T09:00:13+00:00,EUR,8951.43,447.57,697.32,9201.18
ORD000333,cust0087@example.com,SHOP001,ADDR0180A,shipped,2025-10-16T05:10:00+00:00,EUR,2348.77,117.44,182.97,2414.30
ORD000334,cust0038@example.com,SHOP007,ADDR0128A,paid,2026-01-06T07:09:41+00:00,USD,2522.25,126.11,196.48,2592.62
ORD000335,cust0017@example.com,SHOP007,ADDR0064A,paid,2025-01-31T08:24:40+00:00,EUR,7021.31,351.07,546.96,7217.20
ORD000336,cust0160@example.com,SHOP007,ADDR0139B,paid,2025-10-30T09:12:57+00:00,EUR,10365.00,518.25,807.43,10654.18
ORD000337,cust0085@example.com,SHOP006,ADDR0072B,paid,2025-09-14T19:18:12+00:00,GBP,6306.36,315.32,491.27,6482.31
ORD000338,cust0013@example.com,SHOP005,ADDR0072B,shipped,2026-01-12T09:46:58+00:00,EUR,7693.15,384.66,599.30,7907.79
ORD000339,cust0056@example.com,SHOP007,ADDR0054B,paid,2025-06-04T17:55:12+00:00,EUR,7203.62,360.18,561.16,7404.60
ORD000340,cust0027@example.com,SHOP007,ADDR0060A,paid,2025-01-11T12:48:44+00:00,USD,2412.93,120.65,187.97,2480.25
ORD000341,cust0107@example.com,SHOP001,ADDR0050A,paid,2025-02-16T06:22:56+00:00,USD,8295.16,414.76,646.19,8526.59
ORD000342,cust0079@example.com,SHOP003,ADDR0005B,shipped,2025-05-08T07:10:30+00:00,EUR,3932.72,196.64,306.36,4042.44
ORD000343,cust0134@example.com,SHOP004,ADDR0025A,paid,2026-02-25T17:39:40+00:00,GBP,5834.63,291.73,454.52,5997.42
ORD000344,cust0018@example.com,SHOP006,ADDR0157B,paid,2026-07-24T03:24:13+00:00,GBP,12318.43,615.92,959.61,12662.12
ORD000345,cust0072@example.com,SHOP001,ADDR0109B,shipped,2025-01-07T23:51:39+00:00,USD,3169.36,158.47,246.89,3257.78
ORD000346,cust0084@example.com,SHOP005,ADDR0144B,paid,2026-02-15T13:22:32+00:00,USD,3145.49,157.27,245.03,3233.25
ORD000347,cust0150@example.com,SHOP005,ADDR0107A,shipped,2025-02-23T09:48:34+00:00,GBP,317.38,15.87,24.72,326.23
ORD000348,cust0109@example.com,SHOP006,ADDR0145A,cancelled,2025-01-18T22:11:18+00:00,EUR,564.89,0.00,46.32,611.21
ORD000349,cust0066@example.com,SHOP007,ADDR0083A,shipped,2025-05-30T16:38:38+00:00,USD,1891.08,94.55,147.32,1943.85
ORD000350,cust0148@example.com,SHOP003,ADDR0160B,paid,2026-08-16T15:13:14+00:00,USD,3985.59,199.28,310.48,4096.79
ORD000351,cust0116@example.com,SHOP002,ADDR0095A,paid,2025-03-07T16:22:25+00:00,GBP,7061.64,353.08,550.10,7258.66
ORD000352,cust0026@example.com,SHOP003,ADDR0122B,cancelled,2025-09-27T00:30:03+00:00,EUR,3643.65,0.00,298.78,3942.43
ORD000353,cust0142@example.com,SHOP002,ADDR0076B,shipped,2025-04-21T15:08:47+00:00,GBP,1356.91,67.85,105.70,1394.76
ORD000354,cust0069@example.com,SHOP001,ADDR0042A,shipped,2025-05-11T14:30:13+00:00,EUR,9295.87,464.79,724.15,9555.23
ORD000355,cust0058@example.com,SHOP005,ADDR0170A,paid,2025-03-15T14:25:08+00:00,EUR,5966.95,298.35,464.83,6133.43
ORD000356,cust0031@example.com,SHOP004,ADDR0095A,paid,2025-03-24T08:36:37+00:00,GBP,6585.86,329.29,513.04,6769.61
ORD000357,cust0130@example.com,SHOP003,ADDR0054A,paid,2025-01-11T21:00:33+00:00,EUR,4981.34,249.07,388.05,5120.32
ORD000358,cust0117@example.com,SHOP002,ADDR0086A,shipped,2025-09-24T19:38:30+00:00,USD,5542.16,277.11,431.73,5696.78
ORD000359,cust0140@example.com,SHOP004,ADDR0174A,paid,2026-06-29T09:01:49+00:00,GBP,7579.80,378.99,590.47,7791.28
ORD000360,cust0100@example.com,SHOP002,ADDR0011A,shipped,2025-09-02T10:05:21+00:00,GBP,3838.33,191.92,299.01,3945.42
ORD000361,cust0102@example.com,SHOP002,ADDR0002A,paid,2025-07-29T18:11:14+00:00,GBP,14575.71,728.79,1135.45,14982.37
ORD000362,cust0089@example.com,SHOP002,ADDR0131B,paid,2025-04-30T02:51:19+00:00,GBP,4981.75,249.09,388.08,5120.74
ORD000363,cust0090@example.com,SHOP007,ADDR0033B,cancelled,2026-01-20T05:34:24+00:00,GBP,7259.97,0.00,595.32,7855.29
ORD000364,cust0165@example.com,SHOP007,ADDR0026A,shipped,2025-10-10T18:52:36+00:00,GBP,11359.67,567.98,884.92,11676.61
ORD000365,cust0086@example.com,SHOP004,ADDR0003A,paid,2025-10-07T21:51:42+00:00,GBP,13758.76,687.94,1071.81,14142.63
ORD000366,cust0179@example.com,SHOP002,ADDR0088A,shipped,2026-04-10T09:26:52+00:00,USD,8034.92,401.75,625.92,8259.09
ORD000367,cust0082@example.com,SHOP005,ADDR0090B,cancelled,2026-08-19T04:00:43+00:00,EUR,12153.77,0.00,996.61,13150.38
ORD000368,cust0013@example.com,SHOP003,ADDR0026A,shipped,2025-06-24T10:59:55+00:00,USD,9229.27,461.46,718.96,9486.77
ORD000369,cust0031@example.com,SHOP005,ADDR0119B,paid,2026-01-15T08:38:51+00:00,USD,9152.26,457.61,712.96,9407.61
ORD000370,cust0039@example.com,SHOP001,ADDR0090A,paid,2025-12-30T18:21:54+00:00,GBP,417.88,20.89,32.55,429.54
ORD000371,cust0170@example.com,SHOP001,ADDR0041A,refunded,2026-02-20T05:16:55+00:00,USD,9241.14,462.06,719.88,9498.96
ORD000372,cust0003@example.com,SHOP003,ADDR0036B,shipped,2026-08-06T03:34:17+00:00,USD,4162.57,208.13,324.26,4278.70
ORD000373,cust0128@example.com,SHOP006,ADDR0012A,paid,2026-01-23T20:46:24+00:00,USD,7252.80,362.64,564.99,7455.15
ORD000374,cust0147@example.com,SHOP001,ADDR0116B,paid,2025-08-19T04:41:08+00:00,USD,6883.87,344.19,536.25,7075.93
ORD000375,cust0100@example.com,SHOP005,ADDR0123B,paid,2025-11-18T22:46:35+00:00,EUR,5989.58,299.48,466.59,6156.69
ORD000376,cust0084@example.com,SHOP005,ADDR0074A,refunded,2026-06-30T19:37:14+00:00,EUR,10654.68,532.73,830.00,10951.95
ORD000377,cust0163@example.com,SHOP003,ADDR0156A,paid,2025-10-03T17:49:13+00:00,GBP,6918.41,345.92,538.94,7111.43
ORD000378,cust0050@example.com,SHOP007,ADDR0057B,paid,2025-04-30T06:55:11+00:00,EUR,4134.46,206.72,322.07,4249.81
ORD000379,cust0058@example.com,SHOP001,ADDR0059A,paid,2025-02-25T12:34:21+00:00,EUR,885.06,44.25,68.95,909.76
ORD000380,cust0061@example.com,SHOP004,ADDR0042A,draft,2026-07-08T01:48:35+00:00,GBP,4598.86,0.00,377.11,4975.97
ORD000381,cust0148@example.com,SHOP006,ADDR0008A,cancelled,2026-04-28T19:25:45+00:00,EUR,14822.36,0.00,1215.43,16037.79
ORD000382,cust0122@example.com,SHOP005,ADDR0022B,paid,2025-06-14T12:18:12+00:00,GBP,3775.89,188.79,294.14,3881.24
ORD000383,cust0104@example.com,SHOP004,ADDR0040A,shipped,2025-09-19T16:39:02+00:00,EUR,9179.84,458.99,715.11,9435.96
ORD000384,cust0055@example.com,SHOP005,ADDR0135A,draft,2025-08-02T10:31:38+00:00,EUR,6126.08,0.00,502.34,6628.42
ORD000385,cust0169@example.com,SHOP006,ADDR0067A,shipped,2025-06-18T23:34:33+00:00,EUR,2265.93,113.30,176.52,2329.15
ORD000386,cust0122@example.com,SHOP003,ADDR0078A,shipped,2026-08-02T19:26:06+00:00,EUR,5375.74,268.79,418.77,5525.72
ORD000387,cust0013@example.com,SHOP007,ADDR0140B,shipped,2025-12-21T01:30:31+00:00,GBP,1325.53,66.28,103.26,1362.51
ORD000388,cust0107@example.com,SHOP007,ADDR0022B,cancelled,2026-06-10T01:50:48+00:00,GBP,1393.41,0.00,114.26,1507.67
ORD000389,cust0170@example.com,SHOP005,ADDR0164A,paid,2026-07-12T18:36:26+00:00,GBP,6551.01,327.55,510.32,6733.78
ORD000390,cust0140@example.com,SHOP005,ADDR0016A,paid,2026-08-14T08:38:57+00:00,USD,8530.62,426.53,664.54,8768.63
ORD000391,cust0044@example.com,SHOP003,ADDR0085B,cancelled,2025-03-22T08:28:22+00:00,USD,15473.62,0.00,1268.84,16742.46
